Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
103,7.1,3.0,5.9,2.1,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
116,6.4,3.2,5.3,2.3,Iris-virginica
59,6.6,2.9,4.6,1.3,Iris-versicolor
68,5.8,2.7,4.1,1.0,Iris-versicolor
6,5.4,3.9,1.7,0.4,Iris-setosa
8,5.0,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
66,6.7,3.1,4.4,1.4,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
122,5.6,2.8,4.9,2.0,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
16,5.7,4.4,1.5,0.4,Iris-setosa
99,5.1,2.5,3.0,1.1,Iris-versicolor
90,5.5,2.5,4.0,1.3,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
33,5.2,4.1,1.5,0.1,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
88,6.3,2.3,4.4,1.3,Iris-versicolor
96,5.7,3.0,4.2,1.2,Iris-versicolor
41,5.0,3.5,1.3,0.3,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
135,6.1,2.6,5.6,1.4,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
139,6.0,3.0,4.8,1.8,Iris-virginica
29,5.2,3.4,1.4,0.2,Iris-setosa
105,6.5,3.0,5.8,2.2,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa
54,5.5,2.3,4.0,1.3,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
50,5.0,3.3,1.4,0.2,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
92,6.1,3.0,4.6,1.4,Iris-versicolor
46,4.8,3.0,1.4,0.3,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
145,6.7,3.3,5.7,2.5,Iris-virginica
